"中文名","英文名","DS5","DSE","DS5自适应扳机","DSE自适应扳机","DS5触觉反馈","DSE触觉反馈","DS5触摸板","DSE触摸板","分组","备注"
"Cygni：枪炮齐鸣","Cygni: All Guns Blazing","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Daemon X Machina：泰坦尼克号赛恩","Daemon X Machina: Titanic Scion","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"黑暗之魂 重制版","Dark Souls Remastered","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"黑木","Darkwood","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"达尔文悖论！","Darwin's Paradox!","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"潜水员戴夫","Dave the Diver","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"往日不再","Days Gone","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"死格式","Dead Format","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"死亡岛 2","Dead Island 2","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"死亡重置","Dead Reset","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"丧尸围城 豪华复刻版","Dead Rising Deluxe Remaster","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"死亡空间（2023）","Dead Space (2023)","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"死亡空间 2","Dead Space 2","需手动修复","需手动修复","未列入","未列入","未列入","未列入","需手动修复","未列入","需要手动修复/改动","触摸板：DS5 触摸板 需手动修复，第三方工具/自定义配置，Custom config. Requires reWASD application to run. Responsible for recentring camera and Attack."
"死夺","Dead Take","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"死核重制版","DeadCore Redux","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Deadlock","Deadlock","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"死必须死","Death Must Die","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"死亡平方","Death Squared","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"死亡搁浅 2：冥滩之上","Death Stranding 2: On the Beach","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"死亡搁浅 导演剪辑版","Death Stranding Director's Cut","本地支持","本地支持","本地支持","本地支持","限制支持","限制支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 限制支持，DSE 限制支持"
"死亡循环","Deathloop","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"欺骗2","Deceit 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"解构模拟器","Deconstruction Simulator","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"深岩银河","Deep Rock Galactic","未列入","未列入","未列入","未列入","未列入","未列入","需手动修复","未列入","触摸板页面补充（第三方/Steam）","触摸板：DS5 触摸板 需手动修复，第三方工具/自定义配置，Custom config. Requires reWASD application to run. Numpad action shortcuts."
"深度睡眠：被遗忘者的迷宫","Deep Sleep: Labyrinth of the Forsaken","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"不惜一切代价交付","Deliver at All Costs","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"三角洲行动（2024）","Delta Force (2024)","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"德尔塔卢恩","Deltarune","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"鬼灭之刃-鬼灭之刃-日神编年史","Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"恶魔潮汐","Demon Tides","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"人格解体","Depersonalization","本地支持","未列入","未列入","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","触觉反馈：DS5 本地支持，DSE 未列入"
"侦探本能：永别了，我的爱人","Detective Instinct: Farewell, My Beloved","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"杀出重围重制版","Deus Ex Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"鬼泣 5","Devil May Cry 5","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"鬼泣 HD 合集","Devil May Cry HD Collection","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"暗黑破坏神 II：狱火重生","Diablo II: Resurrected","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"暗黑破坏神 IV","Diablo IV","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"数码宝贝物语：时间陌生人","Digimon Story: Time Stranger","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"恐龙危机","Dino Crisis","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"恐龙创伤","Dino Trauma","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"指令 8020","Directive 8020","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"污垢5","DIRT 5","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"尘埃拉力赛 2.0","DiRT Rally 2.0","本地支持","本地支持","需手动修复","需手动修复","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 需手动修复，DSE 需手动修复"
"门徒：统治","Disciples: Domination","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Dispatch（2025）","Dispatch (2025)","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"距离","Distance","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"停靠","Docked","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"多卡蓬王国：连接","Dokapon Kingdom: Connect","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"多卡蓬！愤怒之剑","Dokapon! Sword of Fury","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"支石墓","Dolmen","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"圆顶守护者","Dome Keeper","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"毁灭战士 + 毁灭战士 II","Doom + Doom II","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"毁灭战士 3","Doom 3","需手动修复","未列入","未列入","未列入","未列入","未列入","未列入","未列入","需要手动修复/改动",""
"毁灭战士 64","Doom 64","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"毁灭战士：黑暗时代","Doom: The Dark Ages","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"龙腾世纪：影障守护者","Dragon Age: The Veilguard","本地支持","本地支持","未列入","未列入","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","触觉反馈：DS5 本地支持，DSE 本地支持"
